Tickers,Class
EPI,E
RSP,D
IMCV,A
AIRR,C
REZ,A
PRF,C
VB,E
SLYV,C
DXJ,D
NUMG,C
RDVY,B
OMFL,A
DIA,B
PFFD,B
XLY,A
PEY,E
DBJP,C
NFTY,A
VCR,C
PRFZ,D
FBZ,C
EWM,A
OUSM,A
VLU,E
IYF,B
ICF,E
MFEM,D
FNDX,C
LVHI,A
FCTR,C
TUR,B
IYG,E
IJS,E
HYEM,A
EUDG,E
EWC,A
IDOG,D
FGD,A
IQDY,A
FEMS,D
RWK,E
VYMI,E
FNDB,D
DBEU,D
VSDA,C
BOUT,E
CSB,B
JPUS,D
XSMO,D
RFV,E
FNDA,D
PKW,C
MDYV,D
HEWJ,E
FLLA,C
GSJY,E
RZV,C
IAU,E
JPEM,A
HDEF,D
RWL,A
BFOR,B
KCE,D
CNRG,E
ONEV,D
SDG,E
DSTL,E
PXF,C
BIZD,C
FDIS,B
IJR,C
DVY,D
DIVI,A
VAMO,C
FHLC,E
IQIN,E
FNDF,B
NOBL,A
XLRE,C
PFFA,A
FYT,D
DDWM,A
EZA,D
PSR,D
FNDE,D
COWZ,E
XLU,E
ISCF,C
EVX,D
UTRN,C
SPSM,B
JPME,A
VIOO,D
GOAU,B
FNX,B
XLV,C
PFXF,B
KARS,D
FLTW,A
EPU,B
PZT,C
RWJ,E
PDBC,A
FLLV,C
FLJH,C
EZM,A
EQAL,C
SLYG,A
SSPY,E
FXZ,B
IVOV,A
JPSE,C
FUTY,D
NUDM,E
LEAD,E
EWT,E
PSCI,E
VFH,E
GSSC,D
ESGS,B
LIT,C
PSCD,C
VBR,B
VIG,A
INDS,A
DIVB,A
XMVM,D
NURE,C
XSD,C
BBJP,D
CEW,C
COM,A
FLN,E
SLX,B
FYX,B
HEEM,C
DBC,C
ISMD,A
FLIN,A
MOAT,B
NANR,B
IVOO,D
SPHB,C
HTUS,E
EES,B
IAI,D
SMLF,C
IGRO,E
GLD,C
DIVO,B
CWS,E
WTV,B
IJJ,D
SPEM,E
RDIV,A
MAGA,D
VFMF,C
DTD,B
FFIU,D
DLN,E
FXO,D
ICOW,E
ECH,C
BLOK,A
KGRN,D
RNSC,C
EMCB,D
PSCT,D
EWJV,A
VIOV,D
BLCN,A
PICK,E
NUSC,E
EWD,B
PSCC,E
